endDate,revenue
2013-12-31,489.007
2014-12-31,537.898
2015-12-31,569.763
2016-12-31,614.371
2017-12-31,984.326
2018-12-31,1120.975
2019-12-31,1133.138
2020-12-31,1016.175
2021-12-31,1166.161
2022-12-31,1224.022
2023-12-31,1322.466
