endDate,revenue
2013-12-31,7.146079
2014-12-31,7.421768
2015-12-31,7386.626
2016-12-31,7440.181
2017-12-31,7515.426
2018-12-31,7791.069
2019-12-31,7986.252
2020-12-31,8149.719
2021-12-31,8971.337
2022-12-31,10419.294
2023-12-31,11164.992
