         5404677066 function calls (5396010005 primitive calls) in 1430.985 seconds

   Ordered by: cumulative time
   List reduced from 4492 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   508850    2.268    0.000   23.182    0.000 movingAverageStrategy.py:44(_fan_out_rule)
    30219    0.089    0.000   22.212    0.001 frame.py:609(__init__)
     2969    0.044    0.000   21.665    0.007 construction.py:423(dict_to_mgr)
     3521    0.015    0.000   19.958    0.006 construction.py:100(arrays_to_mgr)
   613833    1.093    0.000   19.717    0.000 generic.py:6258(copy)
      501    0.004    0.000   19.436    0.039 apply.py:915(wrap_results)
      501    0.002    0.000   19.422    0.039 apply.py:1050(wrap_results_for_axis)
      501    0.006    0.000   19.420    0.039 apply.py:1071(infer_to_same_shape)
     3469    0.010    0.000   18.895    0.005 decorators.py:15(ignore_trade_exceptions)
 35894000   11.647    0.000   17.886    0.000 inspect.py:1749(currentframe)
     3469    0.027    0.000   17.565    0.005 trade.py:63(execute_trade)
 71790474   12.568    0.000   17.492    0.000 <frozen posixpath>:41(_get_sep)
   302879    0.276    0.000   17.097    0.000 fib.py:44(candle_body_outside_range)
   843538    1.517    0.000   16.852    0.000 numerictypes.py:598(find_common_type)
  1225148    1.498    0.000   16.338    0.000 base.py:5304(__getitem__)
   302879    1.191    0.000   14.412    0.000 fib.py:9(__init__)
     3521    0.638    0.000   14.290    0.004 construction.py:588(_homogenize)
  3453798    3.644    0.000   14.173    0.000 generic.py:5904(__setattr__)
  1178855    1.516    0.000   14.075    0.000 datetimelike.py:347(__getitem__)
  2111610    3.205    0.000   13.270    0.000 series.py:966(__getitem__)
   254425    0.139    0.000   13.008    0.000 movingAverageStrategy.py:38(_bullish_fan_out_rule)
  1687076    8.420    0.000   12.390    0.000 numerictypes.py:574(_can_coerce_all)
   308898    0.482    0.000   12.121    0.000 series.py:5077(reindex)
  1178855    1.453    0.000   12.059    0.000 _mixins.py:283(__getitem__)
   308898    0.968    0.000   11.561    0.000 generic.py:5044(reindex)
   254425    0.126    0.000   10.439    0.000 movingAverageStrategy.py:41(_bearish_fan_out_rule)
  1165957    2.277    0.000   10.354    0.000 datetimes.py:483(_box_func)
   374169    1.954    0.000   10.013    0.000 construction.py:493(sanitize_array)
    12214    0.041    0.000    9.871    0.001 decorators.py:7(check_trade_status)
   614835    1.016    0.000    9.373    0.000 managers.py:616(copy)
  2917491    2.193    0.000    9.311    0.000 common.py:96(is_bool_indexer)
 15571800    4.017    0.000    9.103    0.000 generic.py:45(_instancecheck)
5164526/4855628    1.799    0.000    8.976    0.000 {built-in method builtins.all}
72201930/65954910    6.577    0.000    8.663    0.000 {built-in method builtins.len}
  1208781    2.584    0.000    8.652    0.000 blocks.py:2172(new_block)
  2530945    2.235    0.000    8.432    0.000 series.py:661(name)
  1560770    4.640    0.000    8.384    0.000 generic.py:5844(__finalize__)
  2155654    1.193    0.000    8.277    0.000 base.py:5363(_can_hold_identifiers_and_holds_name)
   619394    1.604    0.000    8.271    0.000 managers.py:301(apply)
     1638    0.007    0.000    7.245    0.004 trade.py:262(calc_EXIT)
     1638    0.008    0.000    7.234    0.004 trade.py:274(EXIT_STOP_LIMIT)
     1638    0.291    0.000    7.215    0.004 trade.py:294(_EXIT_STOP_LIMIT)
     3469    0.051    0.000    6.929    0.002 trade.py:107(setup_TP)
  2111610    1.563    0.000    6.752    0.000 series.py:1072(_get_value)
1915602/1915530    0.899    0.000    6.530    0.000 {built-in method builtins.any}
  2844942    2.219    0.000    6.466    0.000 indexing.py:1539(_validate_integer)
  2533500    1.344    0.000    6.202    0.000 common.py:1725(validate_all_hashable)
    69024    0.356    0.000    6.008    0.000 frame.py:3758(__getitem__)
    44143    0.320    0.000    5.744    0.000 series.py:3194(_construct_result)
      503    0.015    0.000    5.686    0.011 _common.py:74(get_weekly_candle_range)
  2155654    0.908    0.000    4.985    0.000 base.py:2581(is_object)
  5060659    3.361    0.000    4.952    0.000 indexing.py:2656(check_deprecated_indexers)
      551    0.148    0.000    4.915    0.009 utils.py:642(safe_merge_dfs)
 15571800    3.675    0.000    4.903    0.000 generic.py:40(_check)
    32730    0.096    0.000    4.747    0.000 indexing.py:1276(_getitem_axis)
  2529111    0.603    0.000    4.740    0.000 cast.py:1635(<genexpr>)
     1003    0.213    0.000    4.624    0.005 construction.py:627(_extract_index)
     3469    0.129    0.000    4.617    0.001 common.py:16(find_last_high)
  1823531    1.850    0.000    4.551    0.000 common.py:1278(is_bool_dtype)
 71791432    4.542    0.000    4.542    0.000 {built-in method posix.fspath}
  2297786    1.565    0.000    4.475    0.000 common.py:162(is_object_dtype)
22485036/22395125    2.854    0.000    4.470    0.000 {built-in method builtins.getattr}
  1165957    4.450    0.000    4.450    0.000 {built-in method _from_value_and_reso}
    10590    4.293    0.000    4.384    0.000 {pandas._libs.tslibs.vectorized.ints_to_pydatetime}
   618530    4.231    0.000    4.371    0.000 blocks.py:544(copy)
 35896808    4.370    0.000    4.370    0.000 {method 'rfind' of 'str' objects}
      501    0.001    0.000    4.287    0.009 frame.py:11375(resample)
      501    0.004    0.000    4.286    0.009 generic.py:8432(resample)
      501    0.004    0.000    4.279    0.009 resample.py:1537(get_resampler)
    31728    0.028    0.000    4.269    0.000 indexing.py:1258(_get_label)
      501    0.004    0.000    4.249    0.008 resample.py:1690(_get_resampler)
    31728    0.226    0.000    4.241    0.000 generic.py:3908(xs)
      501    0.006    0.000    4.232    0.008 resample.py:145(__init__)
  1875899    3.304    0.000    4.225    0.000 generic.py:259(__init__)
      501    0.003    0.000    4.217    0.008 resample.py:247(_get_binner)
      501    0.002    0.000    4.211    0.008 resample.py:1264(_get_binner_for_time)
      501    0.010    0.000    4.209    0.008 resample.py:1736(_get_time_bins)
      501    0.083    0.000    4.147    0.008 api.py:204(union_indexes)
     5420    0.012    0.000    4.115    0.001 response.py:753(_update_chunk_length)
    16286    0.084    0.000    4.107    0.000 frame.py:3832(_getitem_bool_array)
   305885    0.478    0.000    4.088    0.000 cast.py:120(maybe_convert_platform)
   361176    0.497    0.000    4.086    0.000 managers.py:1934(from_array)
   302376    0.529    0.000    4.004    0.000 base.py:3241(union)
 38851191    3.796    0.000    3.941    0.000 {built-in method builtins.hasattr}
  2034982    0.270    0.000    3.880    0.000 datetimes.py:569(__iter__)
   257386    0.309    0.000    3.854    0.000 strategy.py:479(get_date_from_pricing_data)
  5067000    1.390    0.000    3.781    0.000 common.py:1744(<genexpr>)
        3    0.000    0.000    3.776    1.259 strategyXLSXWriter.py:187(write_analytics_to_xlsx)
      507    0.003    0.000    3.706    0.007 datetimes.py:934(date_range)
      507    0.011    0.000    3.701    0.007 datetimes.py:335(_generate_range)
      501    0.074    0.000    3.652    0.007 datetimes.py:397(<listcomp>)
  2935512    2.251    0.000    3.652    0.000 series.py:611(name)
547897/531116    0.285    0.000    3.625    0.000 {built-in method numpy.asarray}
7735/6724    0.016    0.000    3.611    0.001 _decorators.py:323(wrapper)
 35902808    3.583    0.000    3.583    0.000 {method 'endswith' of 'str' objects}
   303879    3.578    0.000    3.579    0.000 datetimes.py:2511(generate_range)
  4577218    1.336    0.000    3.394    0.000 series.py:708(_values)
        3    0.000    0.000    3.313    1.104 workbook.py:373(save)
        3    0.000    0.000    3.313    1.104 excel.py:279(save_workbook)
        3    0.000    0.000    3.312    1.104 excel.py:273(save)
        3    0.001    0.000    3.312    1.104 excel.py:54(write_data)
  7351152    3.257    0.000    3.308    0.000 {pandas._libs.lib.is_list_like}
