         5406986886 function calls (5398158676 primitive calls) in 1400.685 seconds

   Ordered by: cumulative time
   List reduced from 4496 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4010923    3.831    0.000   26.936    0.000 generic.py:5888(__getattr__)
   508850    2.218    0.000   22.907    0.000 movingAverageStrategy.py:44(_fan_out_rule)
    30219    0.079    0.000   22.001    0.001 frame.py:609(__init__)
     2969    0.044    0.000   21.478    0.007 construction.py:423(dict_to_mgr)
   613833    1.126    0.000   20.213    0.000 generic.py:6258(copy)
     3521    0.015    0.000   19.848    0.006 construction.py:100(arrays_to_mgr)
      501    0.004    0.000   19.414    0.039 apply.py:915(wrap_results)
      501    0.002    0.000   19.400    0.039 apply.py:1050(wrap_results_for_axis)
      501    0.007    0.000   19.397    0.039 apply.py:1071(infer_to_same_shape)
     3469    0.011    0.000   17.888    0.005 decorators.py:15(ignore_trade_exceptions)
 35894000   11.282    0.000   17.283    0.000 inspect.py:1749(currentframe)
   302879    0.266    0.000   16.642    0.000 fib.py:44(candle_body_outside_range)
     3469    0.025    0.000   16.569    0.005 trade.py:63(execute_trade)
 71790470   12.130    0.000   16.497    0.000 <frozen posixpath>:41(_get_sep)
  1225148    1.389    0.000   16.114    0.000 base.py:5304(__getitem__)
   843538    1.537    0.000   15.868    0.000 numerictypes.py:598(find_common_type)
   302879    1.109    0.000   14.081    0.000 fib.py:9(__init__)
     3521    0.654    0.000   14.055    0.004 construction.py:588(_homogenize)
  1178855    1.460    0.000   13.987    0.000 datetimelike.py:347(__getitem__)
  3453798    3.538    0.000   13.778    0.000 generic.py:5904(__setattr__)
  2111610    3.226    0.000   13.000    0.000 series.py:966(__getitem__)
   254425    0.174    0.000   12.907    0.000 movingAverageStrategy.py:38(_bullish_fan_out_rule)
  1178855    1.437    0.000   12.061    0.000 _mixins.py:283(__getitem__)
   308898    0.461    0.000   11.940    0.000 series.py:5077(reindex)
  1687076    8.000    0.000   11.574    0.000 numerictypes.py:574(_can_coerce_all)
   308898    0.956    0.000   11.405    0.000 generic.py:5044(reindex)
  1165957    2.184    0.000   10.377    0.000 datetimes.py:483(_box_func)
