Index,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting,Ticker
17,ALLIANZ,DE0008404005,Deutschland,EUR,XETRA,Equity,Aa3,DAX Index,Finanzdienstleister,"0,97%",ALV.DE
18,BP ORD,GB0007980591,Großbritannien (UK),GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Energie,"0,89%",BP.L
19,AIR LIQUIDE ORD,FR0000120073,Frankreich,EUR,Euronext Paris,Equity,A1,CAC 40 Index,Grundstoffe,"0,88%",AI.PA
20,AIRBUS SE,NL0000235190,Niederlande,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Industrieunternehmen,"0,84%",AIR.PA
21,UBS GROUP AG,CH0244767585,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Finanzdienstleister,"0,83%",UBSG.SW
22,DEUTSCHE TELEKOM AG ORD,DE0005557508,Deutschland,EUR,XETRA,Equity,Baa1,DAX Index,Telekommunikation,"0,76%",DTE.DE
23,GSK PLC ORD,GB00BN7SWP63,Großbritannien (UK),GBP,-,Equity,-,-,Gesundheitswesen,"0,73%",GSK.L
24,DIAGEO ORD,GB0002374006,Großbritannien (UK),GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Basiskonsumgüter,"0,73%",DGE.L
25,RELX PLC ORD,GB00B2B0DG97,Großbritannien (UK),GBP,London Stock Exchange,Equity,Baa1,FTSE 100 Index,Verbrauchsgüter,"0,72%",REL.L
26,CIE FINANCIERE RICHEMONT AG ZUG ORD,CH0210483332,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Verbrauchsgüter,"0,70%",CFR.SW
27,VINCI ORD,FR0000125486,Frankreich,EUR,Euronext Paris,Equity,Baa1,CAC 40 Index,Industrieunternehmen,"0,68%",DG.PA
28,RIO TINTO PLC,GB0007188757,Australien,GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Grundstoffe,"0,67%",RIO.L
29,ZURICH INSURANCE GROUP AG,CH0011075394,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Finanzdienstleister,"0,67%",ZURN.SW
30,HERMES INTL ORD,FR0000052292,Frankreich,EUR,Euronext Paris,Equity,-,CAC 40 Index,Verbrauchsgüter,"0,67%",RMS.PA
31,BNP PARIBAS SA,FR0000131104,Frankreich,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Finanzdienstleister,"0,66%",BNP.PA
32,SAFRAN ORD,FR0000073272,Frankreich,EUR,Euronext Paris,Equity,-,CAC 40 Index,Industrieunternehmen,"0,64%",SAF.PA
33,IBERDROLA SA,ES0144580Y14,Spanien,EUR,Mercado Continuo Espana,Equity,Baa1,IBEX 35 Index,Versorgungsunternehmen,"0,63%",IBE.MC
34,ABB LTD ORD,CH0012221716,Schweiz,CHF,Scoach Switzerland,Equity,A2,Swiss Market Index,Industrieunternehmen,"0,62%",ABBN.SW
35,BANCO SANTANDER SA ORD,ES0113900J37,Spanien,EUR,Mercado Continuo Espana,Equity,Baa1,IBEX 35 Index,Finanzdienstleister,"0,59%",SAN.MC
36,AXA ORD,FR0000120628,Frankreich,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Finanzdienstleister,"0,58%",CS.PA
37,BRITISH AMERICAN TOBACCO ORD,GB0002875804,Großbritannien (UK),GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Basiskonsumgüter,"0,54%",BATS.L
38,ESSILORLUXOTTICA ORD,FR0000121667,Frankreich,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Gesundheitswesen,"0,54%",EL.PA
39,MUNICH RE ORD,DE0008430026,Deutschland,EUR,XETRA,Equity,Aa3,DAX Index,Finanzdienstleister,"0,52%",MUV2.DE
40,BBVA ORD,ES0113211835,Spanien,EUR,Mercado Continuo Espana,Equity,Baa2,IBEX 35 Index,Finanzdienstleister,"0,50%",BBVA.MC
41,ANHEUSER-BUSCH INBEV SA/NV ORD,BE0974293251,Belgien,EUR,Euronext Brussels,Equity,-,BEL 20 Index,Basiskonsumgüter,"0,50%",ABI.BR
42,MERCEDES-BENZ GROUP N AG,DE0007100000,Deutschland,EUR,XETRA,Equity,A3,DAX Index,Basiskonsumgüter,"0,49%",MBG.DE
43,GLENCORE PLC,JE00B4T3BW64,Australien,GBP,London Stock Exchange,Equity,Aa3,FTSE 100 Index,Grundstoffe,"0,48%",GLEN.L
44,RECKITT BNCSR GRP ORD,GB00B24CGK77,Großbritannien (UK),GBP,London Stock Exchange,Equity,A1,FTSE 100 Index,Verbrauchsgüter,"0,48%",RKT.L
45,ENEL GLOBAL TRADING ORD,IT0003128367,Italien,EUR,Milan Stock Exchange,Equity,Baa2,FTSE Italia All-Share Index,Versorgungsunternehmen,"0,48%",ENEL.MI
46,UNICREDIT SPA ORD,IT0005239360,Italien,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Finanzdienstleister,"0,47%",UCG.MI
