fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31	USD	38527000000	1032000000	105000000	105000000	None	481000000	37557000000	15666000000	14279000000	13321000000	3236000000	10085000000	None	None	None	56000000	139000000	32146000000	2585000000	252000000	605000000	835000000	1167000000	29561000000	5893000000	22921000000	835000000	None	22921000000	342000000	1914000000	6381000000	None	-11889000000	4000000	434000000
2022-12-31	USD	38921000000	1217000000	156000000	156000000	268000000	593000000	37770000000	15407000000	13071000000	13681000000	3596000000	10085000000	None	None	None	73000000	136000000	31472000000	2731000000	236000000	736000000	819000000	1169000000	28741000000	6231000000	21729000000	819000000	None	21729000000	407000000	1950000000	7449000000	None	-10666000000	4000000	433000000
2021-12-31	USD	39040000000	1254000000	292000000	292000000	274000000	543000000	37855000000	15269000000	11937000000	14124000000	4046000000	10078000000	None	None	None	53000000	123000000	30782000000	2026000000	246000000	776000000	72000000	421000000	28756000000	6380000000	20629000000	72000000	None	20629000000	401000000	2168000000	8258000000	None	-9753000000	4000000	432000000
2020-12-31	USD	38768000000	1104000000	232000000	232000000	239000000	431000000	37737000000	15162000000	10803000000	14511000000	4433000000	10078000000	None	None	None	202000000	119000000	29307000000	1969000000	230000000	704000000	129000000	458000000	27338000000	6137000000	19280000000	129000000	None	19280000000	378000000	2379000000	9461000000	None	-8472000000	4000000	431000000
2019-12-31	USD	38457000000	1204000000	196000000	196000000	244000000	596000000	37330000000	14666000000	9668000000	14914000000	4836000000	10078000000	None	None	None	168000000	116000000	27968000000	1920000000	334000000	657000000	100000000	399000000	20537000000	5810000000	18121000000	299000000	None	18121000000	361000000	2516000000	10489000000	None	-7356000000	4000000	416000000
2018-12-31	USD	32762000000	1229000000	277000000	277000000	303000000	501000000	31868000000	13653000000	8563000000	15594000000	5516000000	10078000000	None	None	131000000	148000000	920000000	21191000000	1506000000	313000000	498000000	107000000	107000000	19334000000	None	16682000000	107000000	None	16789000000	351000000	3110000000	11571000000	None	-5732000000	4000000	415000000
2017-12-31	USD	32229000000	1134000000	314000000	314094000	283431000	397585000	31431114000	12933000000	7500000000	15983000000	5962000000	10021000000	None	None	94000	139000000	879000000	19890000000	1292000000	249000000	457116000	115000000	115251000	18598406000	None	16159620000	115251000	None	16159620000	339000000	2554000000	12339000000	None	-4504616000	4000000	406280673
2016-12-31	USD	22675000000	1324761000	568000000	567599000	253268000	373532000	21701625000	9805315000	6613219000	9408072000	3650072000	5758000000	49900000	None	124547000	130362000	819610000	15117977000	961355000	188516000	353005000	101749000	101749000	14156622000	None	12171142000	101749000	None	12171142000	221066000	2087229000	7557115000	None	-3378838000	3605000	360536659
2015-12-31	USD	21936966000	981245000	178810000	178810000	263925000	313296000	21413735000	9580057000	5798875000	9293466000	3779915000	5513551000	66049000	None	130731000	225214000	775790000	14847745000	855369000	159629000	322623000	106219000	106219000	14091655000	None	12249238000	106219000	None	12249238000	199923000	1948636000	7089221000	None	-2458397000	3338000	333771660
2014-12-31	USD	21143276000	1282996000	151312000	175620000	332442000	329229000	20594425000	8982783000	5052396000	8878036000	3681551000	5196485000	60400000	None	24308000	119309000	797403000	14406048000	932131000	162397000	348338000	113335000	113335000	13507113000	None	11920861000	113335000	None	11920861000	182081000	1666391000	6716225000	None	-2815428000	3339000	333856632
