fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2022-12-31	USD	2090600000	8363100000	6984900000	6387400000	1420700000	608600000	None	685100000	None	-70400000	-60600000	9800000	8433500000	None	413700000	2100000	1364800000	335000000	9800000	1029800000	1002600000	1420700000	1376700000	1029800000
2021-12-31	USD	1873000000	7482900000	6420000000	5857300000	1241400000	576800000	14500000	637700000	None	-152400000	-144200000	8200000	7635300000	None	376000000	4400000	1108700000	267600000	64300000	841100000	910400000	1241400000	1121300000	841100000
2020-12-31	USD	1369400000	6538200000	5830000000	5288800000	723900000	539600000	15500000	597100000	None	-93500000	-86700000	6800000	6631700000	None	362500000	2600000	632700000	171700000	6800000	461000000	476000000	723900000	642100000	461000000
2019-12-31	USD	1644000000	6788300000	5910700000	5320300000	1053700000	557600000	16000000	615300000	None	-128800000	-119700000	9100000	6917100000	None	346800000	23400000	917000000	220600000	31300000	696400000	675700000	1053700000	949500000	696400000
2018-12-31	USD	1645300000	6988800000	5915900000	5369300000	1067700000	536400000	14400000	594900000	None	-95100000	-86600000	8500000	6997300000	None	361700000	8600000	970500000	232500000	8500000	738000000	756100000	1067700000	987600000	738000000
2017-12-31	USD	1470800000	6424700000	5506600000	4974100000	932500000	519900000	12800000	551500000	None	-102600000	-94700000	7900000	-12300000	None	347800000	10000000	828600000	160000000	9700000	668600000	651300000	932500000	846500000	668600000
2016-12-31	USD	1276100000	5765800000	4997200000	4502900000	783300000	468500000	13300000	512700000	None	-5900000	91800000	5900000	-7300000	None	324100000	7800000	688500000	238900000	5900000	449600000	434900000	783300000	702200000	449600000
2015-12-31	USD	1208000000	5735800000	5015600000	4533700000	750000000	451300000	13100000	492700000	None	-5400000	85500000	5400000	-500000	None	323000000	22700000	664500000	227700000	5400000	436800000	465800000	750000000	692600000	436800000
2014-12-31	USD	1229500000	5837900000	5143500000	4623100000	702700000	469500000	12300000	559600000	None	-7700000	None	7700000	-7000000	None	348200000	22600000	614300000	221700000	7700000	392600000	303700000	702700000	644600000	392600000
2013-12-31	USD	867500000	3655931000	3184368000	2806121000	481900000	326600000	11500000	455332000	None	-13700000	None	13700000	-9377000	None	191200000	16700000	423600000	-17700000	0	436283000	490300000	481900000	454000000	441300000
2012-12-31	USD	634700000	2813367000	2419287000	2204248000	437600000	280800000	11300000	316820000	None	-1916000	None	1916000	-28594000	None	166000000	4216000	374700000	214500000	23212000	163820000	144000000	437600000	380832000	160200000
2011-12-31	USD	542023000	2612282000	2271181000	2078165000	272749000	258551000	12500000	249017000	None	-692000	20000	712000	-7137000	None	161500000	-1134000	243504000	85477000	712000	158027000	104630000	272749000	243082000	158027000
2010-12-31	USD	532200000	2435606000	2084697000	1903406000	185382000	182489000	10900000	181291000	None	-608000	40000	648000	-8865000	None	154000000	-1198000	153104000	-52331000	648000	237713000	197090000	185382000	152554000	205435000
