fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-02-28	USD	26182736000	5041367000	314758000	229500000	3726142000	16229183000	6166376000	3430914000	1614924000	332321000	191063000	141258000	16790571000	16341791000	None	230795000	600989000	20569659000	1938311000	826592000	None	579468000	606974000	2958402000	165135000	17775137000	111859000	1909361000	18382111000	398224000	332383000	5613077000	None	3723094000	79040000	158079033
2022-02-28	USD	26338264000	6549290000	102716000	0	5124569000	15583284000	5642841000	3209068000	1437548000	347714000	206456000	141258000	15676322000	15289701000	None	212922000	490659000	21102825000	2047457000	937717000	None	532272000	559398000	4349565000	145179000	18175019000	11203000	3255304000	18734417000	533271000	357080000	5235439000	None	3524066000	80527000	161053983
2021-02-28	USD	21541541000	4116796000	132319000	46900000	3157159000	13693770000	4213692000	3055563000	1414264000	653000	None	653000	13871249000	13489819000	None	91833000	282797000	17176928000	1698548000	799333000	None	452579000	478467000	2398550000	120094000	14619919000	9927000	1322415000	15098386000	415683000	434843000	4364613000	None	2887897000	81586000	163172333
2020-02-29	USD	21082182000	3663687000	58211000	58211000	2846416000	191090000	4084480000	3069102000	1266920000	None	None	None	13640468000	13551711000	None	86927000	258746000	17313307000	1534707000	737144000	None	433456000	458696000	2834032000	79327000	14944055000	9251000	1778672000	15402751000	333127000	393873000	3768875000	None	2488417000	81541000	163081376
2019-02-28	USD	18717867000	3214013000	46938000	46938000	2519455000	165550000	3146467000	2828058000	1297393000	None	None	None	21107000	12428500000	None	67101000	185963000	15360839000	1311509000	593171000	None	817376000	421026000	14548584000	527406000	13776534000	10177000	1163795000	14197560000	316215000	272796000	3357028000	None	2104146000	83739000	167478924
2018-02-28	USD	17486272000	3061444000	44525000	63954000	2390694000	133321000	2906907000	2667061000	1164249000	None	None	None	31556000	11535704000	19429000	93462000	158807000	14169423000	1174058000	529733000	None	365681000	127000	13469748000	500363000	1495479000	365554000	995479000	1495606000	278771000	242553000	3316849000	None	2047240000	89874000	179747894
2017-02-28	USD	16279356000	2873630000	38416000	54935000	2260563000	152388000	2806207000	2518393000	1041377000	None	None	None	19516000	10596100000	16519000	41910000	140295000	13170776000	1105787000	494989000	None	343328000	62000	12521311000	496136000	1452562000	343266000	952562000	1452624000	266128000	238551000	3108580000	None	1883283000	93274000	186548602
2016-02-29	USD	14459911000	2471781000	37394000	51016000	1932029000	132171000	2420641000	2161698000	925319000	None	None	None	14209000	9536900000	13622000	26358000	127678000	11555125000	1005193000	441746000	None	315937000	428000	10977278000	None	715000000	315509000	715000000	715428000	245909000	229274000	2904786000	None	1746804000	97356000	194712234
2015-02-28	USD	13198201000	2590938000	27606000	36848000	2086874000	137690000	2101221000	1862538000	822706000	10100000	10100000	10100000	10443000	8435504000	9242000	44646000	133483000	10041416000	997173000	454810000	None	291287000	785000	9137773000	None	310000000	290502000	300000000	310785000	250307000	225493000	3156785000	None	1994221000	104435000	208869688
2014-02-28	USD	11707157000	2643224000	627901000	887200000	1641424000	79923000	1846686000	1652977000	730556000	10100000	10100000	10100000	5609000	7147848000	5609000	26811000	110909000	8390160000	875497000	427492000	None	243561000	582000	7577361000	None	7340431000	242979000	0	582000	202588000	174232000	3316997000	None	2214216000	110843000	221685984
2013-02-28	USD	9888602000	2310131000	449364000	673651000	1517813000	91961000	1623078000	1428970000	648981000	10100000	10100000	10100000	0	5895918000	224287000	21513000	107708000	6869435000	684173000	336721000	None	199764000	355000	6263780000	None	6009627000	199409000	None	355000	147821000	175635000	3019167000	None	1993772000	112953000	225906108
2012-02-29	USD	8331543000	1853448000	442658000	442658000	1092592000	86434000	1605048000	1278722000	576641000	10100000	10100000	10100000	300000	None	204314000	17512000	106392000	5658431000	646313000	324827000	None	943000	943000	216018000	None	943000	189388000	None	1886000	128973000	148800000	2673112000	None	1744519000	113559000	227118666
2011-02-28	USD	7125549000	1410098000	41121000	41121000	1049477000	119597000	1109236000	1175317000	511821000	10100000	10100000	10100000	3200000	None	161052000	33660000	95874000	4886300000	522671000	269763000	None	1774000	1002000	158920000	None	29122000	0	0	30124000	103389000	114870000	2239249000	None	1330724000	112943000	225885693
2010-02-28	USD	2556191000	1556412000	18278000	18278000	843133000	None	999779000	893453000	None	10100000	10100000	None	None	None	None	7017000	49092000	622609000	477351000	253267000	None	None	123200000	145258000	None	27371000	122317000	27371000	150571000	-17003000	117887000	1933582000	None	1095461000	111533000	223065542
