fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-09-30	USD	22516968000	885768000	15404000	15404000	245830000	342572000	3041789000	19829949000	None	823459000	92202000	731257000	490266000	104602000	None	292036000	1201158000	11646904000	1352592000	None	74424000	243501000	241933000	9957282000	48825000	13065308000	253423000	5402591000	13307241000	763086000	599898000	10870064000	None	3666674000	742000	148492783
2022-09-30	USD	22192989000	3047693000	51554000	51554000	357941000	375619000	2893997000	17240239000	None	731257000	0	731257000	478003000	96012000	None	2274490000	1173800000	12773898000	3602600000	None	64644000	2386424000	184967000	8717147000	50393000	9118843000	2200000000	6918843000	16055221000	720157000	538302000	9419091000	None	3211157000	704000	140896598
2021-09-30	USD	19608662000	2838715000	116723000	116723000	178116000	342967000	2474131000	15063970000	None	731257000	None	731257000	338757000	108071000	None	2200909000	974720000	11701773000	3510355000	None	59601000	2400452000	0	7472006000	18287000	10486136000	2400000000	8086136000	14671918000	686681000	537489000	7906889000	None	2812673000	662000	132419754
2020-09-30	USD	15359032000	471258000	20808000	20808000	111950000	230595000	1843044000	13355347000	None	731257000	None	731257000	80678000	103952000	None	107905000	801170000	8567829000	782401000	None	66545000	165000	0	6879793000	8466000	9083313000	165000	5597183000	9083313000	546461000	642128000	6791203000	None	2471014000	629000	125882477
2019-09-30	USD	13367619000	458031000	24550000	24550000	130138000	230571000	1122144000	11787669000	None	730706000	None	730706000	1811000	101883000	None	72772000	391213000	7617396000	1209440000	None	67183000	464915000	464915000	3964091000	None	4216249000	0	3529452000	4681164000	479501000	400216000	5750223000	None	2152015000	597000	119338925
2018-09-30	USD	11874437000	478853000	13771000	13771000	165732000	253295000	1024687000	10371147000	None	730419000	730419000	730419000	1619000	99385000	None	46055000	294018000	7104486000	1915131000	None	None	1150780000	575780000	4074869000	None	3736679000	575000000	2493665000	4312459000	547068000	158028000	4769951000	None	1878116000	556000	111273683
2017-09-30	USD	10749596000	539646000	26409000	26409000	184653000	222263000	1062548000	9259182000	None	730132000	730132000	730132000	91648000	88409000	None	106321000	220636000	6850930000	1013443000	None	None	447745000	447745000	5491536000	None	6152045000	0	3067045000	6599790000	332648000	175735000	3898666000	None	1467024000	531000	106104634
2016-09-30	USD	10010889000	681686000	47534000	47534000	233316000	300007000	1265404000	8280511000	None	743407000	16445000	726962000	84327000	72701000	None	88085000	305019000	6547830000	1788281000	None	None	1079811000	829811000	4546722000	None	4898779000	250000000	2188779000	5728590000	439085000	245374000	3463059000	None	1262534000	520000	103930560
2015-09-30	USD	9075072000	626306000	28653000	28653000	236603000	295160000	1232194000	7430580000	None	742702000	742702000	742702000	83800000	74200000	None	65890000	275484000	5880275000	1154823000	None	None	457927000	457927000	3037068000	None	4915388000	0	2437515000	5373315000	457954000	161696000	3194797000	None	1073029000	507000	101478818
2014-09-30	USD	8594704000	775840000	42258000	42258000	278917000	343400000	8075840000	6725906000	1721794000	742029000	742029000	742029000	79613000	None	None	111265000	350929000	5508472000	910650000	None	None	196695000	196695000	2910808000	None	2455986000	0	2455986000	2652681000	405869000	68870000	3086232000	None	917972000	502000	100388092
2013-09-30	USD	7934268000	677133000	66199000	66199000	244741000	301992000	7654975000	6030655000	1691364000	741484000	121000	741363000	72682000	None	None	64201000	485117000	5353859000	978486000	None	None	367984000	367984000	2887097000	None	2455671000	0	2455671000	2823655000	368891000	37563000	2580409000	None	775267000	453000	90640211
2012-09-30	USD	7495675000	827962000	64239000	64239000	256415000	234526000	7182600000	5475604000	1658866000	740847000	164000	740683000	91388000	None	None	272782000	451262000	5136432000	1275954000	None	None	571060000	570929000	2962028000	None	5873003000	131000	1956305000	6443932000	489665000	50730000	2359243000	None	660932000	451000	90207000
2011-09-30	USD	7282871000	1010953000	131419000	131419000	289760000	273303000	6586985000	5147918000	1668876000	740207000	207000	740000000	52633000	None	None	316471000	383793000	5027450000	867598000	None	None	208830000	206396000	3329201000	None	4417102000	2434000	2206117000	4623498000	367563000	564695000	2255421000	None	570495000	451000	90105000
2010-09-30	USD	6763791000	875192000	131952000	131952000	319038000	273207000	5148451000	4793075000	1749243000	740148000	834000	739314000	41466000	None	None	150995000	355376000	4585443000	1166079000	None	None	486231000	126100000	2239715000	None	1809551000	360131000	1809551000	2295782000	413640000	430164000	2178348000	None	486905000	451000	89869000
2009-09-30	USD	6367083000	828940000	111203000	111203000	352728000	None	5514826000	4439103000	1647515000	740064000	740064000	None	None	None	None	132203000	358976000	4190322000	737421000	None	None	None	72550000	3429584000	None	2169400000	131000	2169400000	2242081000	457319000	368158000	2176761000	None	405353000	463000	92024000
