fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-06-30	USD	2317118000	18807826000	16490708000	12635892000	3404177000	3354103000	258000000	3750290000	None	-573894000	573894000	573894000	19381720000	-184167000	317416000	500713000	2679064000	596128000	573894000	2083536000	2333262000	3252958000	3753671000	2082936000
2022-06-30	USD	2360644000	15709477000	13348833000	10550309000	2975035000	2504061000	191000000	2145445000	None	-255252000	179252000	255252000	15964729000	-944881000	257314000	314450000	1613645000	298040000	255252000	1316186000	1339134000	1868897000	2183347000	1315605000
2021-06-30	USD	1812241000	14233884000	12421643000	9604522000	2459941000	2383407000	205000000	2121670000	None	-250036000	7000000	250036000	14483920000	27950000	269943000	325447000	2246196000	500096000	250036000	1746861000	2738248000	2496232000	2821679000	1746100000
2020-06-30	USD	1025310000	13372227000	12346917000	10292291000	1966704000	1656553000	237000000	2352386000	None	-308161000	31000000	308161000	13680388000	67112000	252899000	284632000	1506492000	304522000	308161000	1206703000	702143000	1814653000	2099285000	1201970000
2019-06-30	USD	1643620000	14113353000	12469733000	10688970000	2236239000	1543939000	294852000	2072046000	None	-190138000	190138000	190138000	14303491000	61247000	225675000	205164000	1948908000	424392000	190138000	1512931000	1230288000	2139046000	2344210000	1524516000
2018-06-30	USD	1660905000	14302392000	12641487000	10737745000	2038278000	1639989000	327877000	2201767000	None	-213873000	278173000	213873000	-2528000	-12991000	237806000	221494000	1701763000	640962000	213873000	1061315000	1221919000	1915636000	2137130000	1060801000
2017-06-30	USD	2840350000	12029312000	9188962000	9119029000	1790255000	1412820000	336675000	1895947000	None	-162436000	162436000	162436000	31731000	-49647000	202868000	145128000	1328209000	344797000	162436000	983844000	1286973000	1490645000	1635773000	983412000
2016-06-30	USD	2537369000	11360753000	8823384000	8823384000	1575655000	1359360000	359796000	1838255000	None	-136517000	None	136517000	-33830000	62199000	190308000	108019000	1114352000	307512000	136517000	807216000	317693000	1250869000	1358888000	806840000
2015-06-30	USD	3056499000	12711744000	9655245000	9655245000	1838432000	1544746000	403085000	2079091000	None	-118406000	None	118406000	-99157000	43374000	202776000	109887000	1431827000	419687000	118406000	1012553000	97020000	1550233000	1660120000	1012140000
2014-06-30	USD	3027744000	13215971000	10188227000	10188227000	1790207000	1633992000	410132000	2354773000	None	-82566000	None	82566000	-8395000	25513000	214965000	118782000	1556350000	515302000	82566000	1041418000	1325383000	1638916000	1757698000	1041048000
2013-06-30	USD	2929029000	13015704000	10086675000	10086675000	1791485000	1554973000	406613000	2322515000	None	-91552000	None	91552000	-17383000	18198000	213722000	118516000	1310644000	362217000	91552000	948784000	1256494000	1402196000	1520712000	948427000
2012-06-30	USD	3187605000	13145942000	9958337000	9958337000	2002542000	1519316000	365703000	2099861000	None	-92790000	None	92790000	2494000	-1295000	210508000	107086000	1573029000	421206000	92790000	1155492000	186913000	1665819000	1772905000	1151823000
2011-06-30	USD	2958413000	12253876000	10875272000	9387457000	1823026000	1467773000	359456000	2057761000	None	-99704000	None	99704000	7710000	15075000	229238000	107701000	1405701000	356571000	99704000	1057150000	1806701000	1505405000	1613106000	1049130000
2010-06-30	USD	2146099000	9899359749	9174092000	7847067000	1142680000	1277080000	316181000	1880679000	None	-103599000	None	103599000	9800000	-311000	245295000	362509000	752517000	198452000	103599000	556365000	751981000	856116000	1231528000	554065000
