fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-05-31	USD	5841000000	2439000000	None	-225000000	288000000	703000000	969000000	-489000000	133000000	5070000000	564000000	-7447000000	None	5480000000	5480000000	None	2012000000	2012000000	None	None	None	None	-4829000000	None	-1042000000	None	5070000000
2022-05-31	USD	5188000000	2110000000	None	1365000000	3025000000	717000000	758000000	504000000	1676000000	6046000000	-1524000000	-4836000000	None	4014000000	4014000000	None	1837000000	1837000000	None	None	0	None	-2863000000	None	-1172000000	None	6046000000
2021-05-31	USD	6657000000	2053000000	None	1326000000	1281000000	744000000	695000000	1606000000	-507000000	5727000000	-3800000000	-1459000000	None	608000000	608000000	None	1638000000	1638000000	None	None	0	None	564000000	None	1398000000	None	5727000000
2020-05-31	USD	2485000000	1700000000	None	24000000	1269000000	721000000	1086000000	-1239000000	1854000000	2539000000	-1028000000	2491000000	None	3067000000	3067000000	None	1452000000	1452000000	None	None	6134000000	None	-2182000000	None	3882000000	-66000000	2539000000
2019-05-31	USD	5903000000	910000000	None	1525000000	963000000	705000000	1119000000	270000000	490000000	4029000000	-264000000	-5293000000	None	4286000000	4286000000	None	1332000000	1332000000	None	None	0	None	-3586000000	None	217000000	-129000000	4029000000
2018-05-31	USD	4955000000	654000000	None	1515000000	33000000	747000000	1028000000	-187000000	255000000	1933000000	276000000	-4835000000	None	4254000000	4254000000	None	1243000000	1243000000	None	None	0	None	-3521000000	None	441000000	45000000	1933000000
2017-05-31	USD	3846000000	801000000	None	-364000000	777000000	706000000	1105000000	426000000	231000000	4240000000	-1008000000	-2148000000	None	3223000000	3223000000	None	1133000000	1133000000	None	None	1482000000	None	-2734000000	None	670000000	-20000000	4240000000
2016-05-31	USD	3399000000	818000000	None	-889000000	691000000	649000000	1143000000	-60000000	590000000	3760000000	-1034000000	-2974000000	None	3238000000	3238000000	None	1022000000	1022000000	None	None	981000000	None	-2731000000	None	-714000000	-105000000	3760000000
2015-05-31	USD	4680000000	1315000000	None	1237000000	981000000	606000000	963000000	216000000	621000000	3273000000	-175000000	-2790000000	None	2534000000	2534000000	None	899000000	899000000	None	None	0	None	-2020000000	None	1632000000	-83000000	3273000000
2014-05-31	USD	3013000000	909000000	None	525000000	1013000000	518000000	880000000	298000000	505000000	2693000000	-1207000000	-2914000000	None	2628000000	2628000000	None	799000000	799000000	None	None	0	None	-2245000000	None	-1117000000	-9000000	2693000000
2013-05-31	USD	3032000000	722000000	None	27000000	83000000	452000000	636000000	-142000000	219000000	2485000000	-940000000	-1045000000	None	1674000000	1674000000	None	703000000	703000000	None	None	986000000	None	-1361000000	None	1083000000	36000000	2472000000
2012-05-31	USD	1824000000	667000000	None	None	1269000000	373000000	597000000	323000000	815000000	2223000000	586000000	-2100000000	None	1814000000	1814000000	None	619000000	619000000	None	None	0	None	-1346000000	None	377000000	67000000	2211000000
2011-05-31	USD	1812000000	768000000	None	None	859000000	335000000	432000000	273000000	551000000	2133000000	-1021000000	-1972000000	None	1859000000	1859000000	None	555000000	555000000	None	None	0	None	-1859000000	None	-1124000000	57000000	2133000000
2010-05-31	USD	3164000000	585600000	None	None	-396700000	323700000	335100000	-181700000	-285000000	1906700000	-1268000000	-1061000000	None	741000000	741200000	None	505000000	505000000	None	None	None	None	-741200000	None	788000000	-47000000	1907000000
