fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-09-30	USD	110543000000	5703000000	None	1142000000	7719000000	11519000000	10959000000	417000000	1618000000	96995000000	3705000000	-108488000000	-7956000000	77550000000	77550000000	None	15025000000	15025000000	None	None	5228000000	None	-77550000000	None	5760000000	None	96995000000
2022-09-30	USD	122151000000	4665000000	None	15558000000	14358000000	11104000000	10708000000	9343000000	-1484000000	99803000000	-22354000000	-110749000000	7910000000	89402000000	89402000000	None	14841000000	14841000000	None	None	5465000000	None	-89402000000	None	-10952000000	None	99803000000
2021-09-30	USD	104038000000	4087000000	None	19801000000	24712000000	11284000000	11085000000	14028000000	2642000000	94680000000	-14545000000	-93353000000	2044000000	85971000000	85971000000	None	14467000000	14467000000	None	1105000000	20393000000	None	-84866000000	None	-3860000000	None	94680000000
2020-09-30	USD	80674000000	4502000000	None	6935000000	1245000000	11056000000	7309000000	-8470000000	127000000	57411000000	-4289000000	-86820000000	-1926000000	72358000000	72358000000	None	14081000000	14081000000	None	880000000	16091000000	None	-71478000000	None	-10435000000	None	57411000000
2019-09-30	USD	69391000000	3423000000	None	-7248000000	-3760000000	12547000000	10495000000	-3176000000	289000000	55256000000	45896000000	-90976000000	-11954000000	66897000000	66897000000	None	14119000000	14119000000	None	781000000	6963000000	None	-66116000000	None	24311000000	None	55256000000
2018-09-30	USD	77434000000	3022000000	None	47665000000	12927000000	10903000000	13313000000	13332000000	-828000000	59531000000	16066000000	-87876000000	-74000000	72738000000	72738000000	None	13712000000	13712000000	None	669000000	6969000000	None	-72069000000	None	5624000000	None	59531000000
2017-09-30	USD	64225000000	2092000000	None	8838000000	14388000000	10157000000	12795000000	6347000000	2723000000	48351000000	-46446000000	-17974000000	7704000000	32900000000	32900000000	None	12769000000	12563000000	None	555000000	28662000000	None	-32345000000	None	-195000000	None	48351000000
2016-09-30	USD	66231000000	1316000000	None	-1867000000	-2351000000	10505000000	13548000000	-1044000000	-217000000	45687000000	-45977000000	-20890000000	-794000000	29722000000	29722000000	None	12150000000	11965000000	None	495000000	24954000000	None	-29227000000	None	-636000000	None	45687000000
2015-09-30	USD	81266000000	514000000	None	15188000000	-194000000	9200000000	11488000000	-611000000	238000000	53394000000	-56274000000	-17716000000	4382000000	35253000000	35253000000	None	11561000000	11561000000	None	543000000	27114000000	None	-34710000000	None	7276000000	None	53394000000
2014-09-30	USD	109133000000	339000000	None	13408000000	6361000000	1100000000	9571000000	6452000000	76000000	39510000000	-22579000000	-37549000000	6306000000	45000000000	45000000000	None	11031000000	11126000000	None	730000000	11960000000	None	-44270000000	None	-415000000	None	39510000000
2013-09-30	USD	53666000000	0	None	8320000000	1842000000	960000000	8165000000	1949000000	973000000	37037000000	-33774000000	-16379000000	0	22860000000	22860000000	None	10528000000	10564000000	None	530000000	16896000000	None	-22330000000	None	3513000000	None	37037000000
2012-09-30	USD	50856000000	0	None	9843000000	10142000000	605000000	8295000000	6965000000	15000000	41733000000	-48227000000	-1698000000	0	0	0	None	2488000000	2488000000	None	665000000	0	None	665000000	None	931000000	None	41733000000
2011-09-30	USD	37529000000	None	None	8664000000	2907000000	192000000	4260000000	1791000000	-275000000	25922000000	-40419000000	1444000000	None	0	0	None	None	None	None	831000000	0	None	831000000	None	-1446000000	None	25922000000
2010-09-30	USD	18595000000	None	None	8302000000	5576000000	69000000	2005000000	4860000000	596000000	14013000000	-13854000000	1257000000	None	None	None	None	None	None	None	912000000	None	None	912000000	None	5998000000	None	14013000000
2009-09-30	USD	10159000000	None	None	452000000	1787000000	703000000	1144000000	939000000	-54000000	8235000000	-17434000000	663000000	None	None	None	None	None	None	None	475000000	None	None	475000000	None	-6612000000	None	8235000000
