fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	3004955000	5254471000	3088800000	2223297000	1092160000	834990000	904696000	1912795000	None	77302000	77302000	None	5254471000	4460000	132347000	30513000	1200356000	-89280000	None	1289636000	1338555000	1092160000	1122673000	1289636000
2022-12-31	USD	2806775000	4851095000	2860035000	2053511000	1027845000	775963000	834927000	1778930000	None	40826000	40826000	40826000	4851095000	7577000	118743000	30561000	1064974000	91389000	None	973585000	741217000	1027845000	1058406000	973585000
2021-12-31	USD	2890459000	4937234000	2787862000	2092336000	1218620000	721260000	778750000	1671839000	None	28573000	28573000	57087000	4937234000	4866000	103498000	35540000	1206796000	124596000	None	1082200000	1016608000	1218620000	1254160000	1082200000
2020-12-31	USD	2481336000	4191197000	2310279000	1705237000	1054240000	623588000	652342000	1427096000	None	37002000	37002000	51995000	4191197000	9343000	78121000	34797000	1103410000	111086000	None	992324000	1119877000	1054240000	1089037000	992324000
2019-12-31	USD	2233976000	3740939000	2068322000	1523529000	945586000	518568000	605366000	1288390000	None	52817000	52817000	24837000	3740939000	5618000	71921000	26225000	987222000	34736000	None	952486000	999930000	945586000	971811000	952486000
2018-12-31	USD	1979719000	3345680000	1867698000	1367725000	778343000	478177000	567805000	1201376000	47147000	47147000	47147000	47147000	3340307000	5373000	64798000	21796000	823247000	129167000	None	694080000	646534000	778343000	800139000	694080000
2017-12-31	USD	1797941000	3063743000	1762680000	1323619000	683637000	437977000	511634000	1114304000	36925000	36925000	36925000	36925000	-22349000	-912000	59895000	20863000	697071000	-11936000	None	694955000	802458000	683637000	704500000	709007000
2016-12-31	USD	1688525000	2991523000	1763972000	1357272000	632864000	410558000	467960000	1055661000	33406000	33406000	33406000	33406000	-31148000	5761000	55796000	14319000	638625000	120901000	None	510814000	511129000	632864000	647183000	517724000
2015-12-31	USD	1538704000	2808421000	1683595000	1281566000	549581000	394914000	427043000	989123000	29653000	None	6188000	29653000	-23267000	17606000	51311000	7115000	567187000	110960000	None	456227000	423228000	549581000	556696000	456227000
2014-12-31	USD	1604412000	2866665000	1672543000	1266246000	690626000	372032000	395121000	913786000	35584000	None	None	35584000	-3993000	1834000	48433000	8362000	723745000	359534000	None	364211000	328741000	690626000	698988000	364211000
2013-12-31	USD	1407300000	2668113000	1597838000	1224551000	574032000	355440000	364923000	833268000	35271000	None	None	35271000	36262000	8717000	48476000	17847000	653558000	41146000	None	612412000	511899000	574032000	591879000	612412000
2012-12-31	USD	1438480000	2696020000	1668422000	1277195000	604160000	369790000	325773000	834320000	35108000	None	None	35108000	-19655000	5282000	52632000	21437000	624528000	82125000	None	542403000	593764000	604160000	625597000	542403000
2011-12-31	USD	1338592000	2748661000	1761194000	1419977000	553767000	341217000	298584000	784825000	32812000	None	None	32812000	-9908000	9682000	54610000	24831000	584161000	63265000	None	520896000	552085000	553767000	578598000	520896000
2010-12-31	USD	1346374000	2600288000	1623739000	1343537000	636676000	287824000	277261000	709698000	24979000	-1246000	None	1246000	-88377000	5240000	53487000	28734000	577272000	-7331000	1246000	584603000	653989000	578518000	607252000	584603000
2009-12-31	USD	1444111000	2940400000	1764110000	1502329000	786010000	264202000	238378000	658101000	23519000	0	None	0	-6040000	5162000	56695000	96486000	808651000	104701000	0	703950000	728219000	808651000	879755000	703950000
