fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	15375000000	50346000000	34971000000	16554000000	3034000000	1901000000	None	9831000000	591000000	-2145000000	591000000	2145000000	52491000000	-359000000	None	1936000000	1121000000	299000000	2412000000	822000000	513000000	3266000000	5202000000	822000000
2022-12-31	USD	12064000000	46971000000	34907000000	17916000000	1607000000	1893000000	None	9439000000	216000000	-1962000000	216000000	1962000000	48933000000	325000000	None	1977000000	186000000	59000000	1962000000	127000000	1484000000	2148000000	4125000000	127000000
2021-12-31	USD	2183000000	28078000000	25895000000	10836000000	-1059000000	1196000000	None	7211000000	18000000	-1800000000	18000000	1800000000	29878000000	293000000	None	2019000000	-2548000000	-555000000	1800000000	-1993000000	-832000000	-748000000	1271000000	-1993000000
2020-12-31	USD	-4476000000	16086000000	20562000000	5458000000	-10421000000	604000000	None	7006000000	41000000	-1227000000	41000000	1227000000	17313000000	154000000	None	2040000000	-11453000000	-2568000000	1227000000	-8853000000	-9657000000	-10226000000	-8186000000	-8885000000
2019-12-31	USD	16771000000	44641000000	27870000000	10907000000	3065000000	1697000000	None	9281000000	127000000	-1095000000	127000000	1095000000	45736000000	159000000	None	1982000000	2256000000	570000000	1095000000	1686000000	1251000000	3351000000	5333000000	1686000000
2018-12-31	USD	15799000000	43430000000	27631000000	11217000000	2656000000	1608000000	None	9296000000	118000000	-1056000000	118000000	1056000000	44486000000	166000000	None	1839000000	1884000000	472000000	1056000000	1412000000	1292000000	2940000000	4779000000	1412000000
2017-12-31	USD	13719000000	41150000000	27431000000	9131000000	4231000000	16093000000	None	23106000000	94000000	-1053000000	None	1053000000	-4000000	123000000	None	1702000000	3395000000	2113000000	1053000000	1919000000	1211000000	4448000000	6150000000	1282000000
2016-12-31	USD	13915000000	39190000000	25275000000	8046000000	5060000000	15013000000	None	21754000000	63000000	-991000000	None	991000000	1000000	20000000	None	1525000000	4152000000	1568000000	991000000	2676000000	2233000000	5143000000	6668000000	2584000000
2015-12-31	USD	14070000000	39359000000	25289000000	9207000000	6204000000	13718000000	None	20456000000	39000000	-880000000	None	880000000	-751000000	-747000000	None	1364000000	4616000000	-2994000000	880000000	7610000000	7437000000	5496000000	6860000000	7610000000
2014-12-31	USD	13660000000	42186000000	28526000000	13569000000	4249000000	12852000000	None	18766000000	31000000	-887000000	None	887000000	423000000	-181000000	None	1295000000	3212000000	330000000	887000000	2882000000	355000000	4099000000	5394000000	2882000000
2013-12-31	USD	11725000000	29292000000	17567000000	7839000000	1399000000	8484000000	None	13486000000	20000000	-856000000	None	856000000	11000000	-88000000	None	853000000	-2180000000	-346000000	856000000	-1834000000	-886000000	-1324000000	-471000000	-1834000000
2012-12-31	USD	27962000000	49048000000	21086000000	10571000000	148000000	9500000000	None	14069000000	26000000	-662000000	-30000000	632000000	-41000000	221000000	915000000	845000000	-2445000000	-569000000	662000000	-1876000000	-892000000	-1813000000	-968000000	-1876000000
2011-12-31	USD	25747000000	47132000000	21385000000	10398000000	-1037000000	9901000000	None	14720000000	26000000	-826000000	-15000000	811000000	-17000000	-39000000	954000000	915000000	-1979000000	0	826000000	-1979000000	-3188000000	-1168000000	-253000000	-1979000000
2010-12-31	USD	9114000000	24430000000	15316000000	6400000000	308000000	7823000000	None	12468000000	26000000	-823000000	None	823000000	None	-48000000	967000000	1093000000	-506000000	-35000000	823000000	-471000000	-502000000	317000000	1410000000	-471000000
