fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-02-28	USD	1283332000	261318000	None	-308080000	-342461000	265224000	422710000	1106902000	-1398427000	484762000	-425766000	-710180000	0	333932000	333932000	None	None	None	None	None	None	None	-316839000	None	147386000	None	484762000
2022-02-28	USD	-2549450000	456799000	None	-25350000	4310263000	273188000	308534000	2229769000	1967432000	1151297000	-523745000	3104866000	0	576478000	576478000	None	None	None	None	None	None	None	-496673000	None	31671000	None	1151297000
2021-02-28	USD	667760000	313027000	None	41619000	680575000	242156000	164536000	344345000	323318000	746919000	-128183000	-424020000	-40000	229938000	229938000	None	12559806000	12559806000	None	None	None	None	-86790000	None	115557000	None	746919000
2020-02-29	USD	-236606000	347180000	None	-24385000	1702698000	215811000	331896000	1360159000	326961000	888433000	-389364000	686983000	-1089000	567747000	567747000	None	18062943000	18062943000	None	None	None	None	-443350000	None	61013000	None	888433000
2019-02-28	USD	162971000	220669000	None	-3349000	1189151000	182247000	304636000	1053160000	128761000	842413000	-308513000	186021000	1002000	904726000	904726000	None	15208004000	15208004000	None	None	None	None	-846596000	None	-52350000	None	842413000
2018-02-28	USD	-80550000	437208000	None	-43864000	1190644000	179942000	296816000	1058152000	130131000	664112000	-301863000	413446000	65000	579570000	579570000	None	14402177000	14402177000	None	None	None	None	-506050000	None	6109000	None	664112000
2017-02-28	USD	-1142453000	426366000	12253000	-15618000	1558390000	168875000	418144000	1229999000	328534000	626970000	-465573000	934733000	-366000	564337000	564337000	None	12584269000	12584269000	None	None	None	None	-504468000	None	1022000	None	626970000
2016-02-29	USD	-489821000	363504000	31884000	-142294000	1042383000	137360000	315584000	1197068000	-154845000	623428000	-378795000	537476000	-357000	983941000	983941000	None	11610548000	11610548000	None	None	None	None	-936903000	None	9788000	None	623428000
2015-02-28	USD	-2023410000	379908000	48786000	-26086000	1872591000	115173000	309817000	1427766000	445450000	597358000	-360744000	728579000	203000	924328000	916981000	None	8768203000	8768203000	None	None	None	None	-834518000	None	-600295000	None	597358000
2014-02-28	USD	-613163000	317991000	21917000	36868000	1442469000	101911000	310317000	1312104000	123611000	492586000	-336681000	1128381000	227000	313394000	307248000	None	6907227000	6907227000	None	None	None	None	-268248000	None	178537000	None	492586000
2013-02-28	USD	-778441000	276938000	19858000	-4130000	1424709000	95283000	235707000	997766000	425221000	434284000	-255274000	1040421000	-588000	203405000	203405000	None	5850412000	5850412000	None	None	0	None	-140009000	None	6706000	None	434284000
2012-02-29	USD	-62164000	257547000	9238000	31486000	16938000	82812000	172616000	-33163000	43115000	413795000	-219402000	683103000	-59000	0	0	None	None	None	None	None	0	None	15577000	None	401537000	None	413795000
2011-02-28	USD	-6758000	243031000	7949000	-7330000	209926000	76321000	76580000	-3208000	206344000	380878000	-72212000	101813000	119000	0	0	None	None	None	None	None	243300000	None	38277000	None	22843000	None	377495000
