fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-12-31	USD	3126000000	1454000000	None	-243000000	128000000	1958000000	1424000000	-115000000	None	1502000000	-1519000000	-1654000000	-1876000000	30000000	30000000	None	2723000000	2723000000	None	None	3843000000	None	-30000000	None	None	None	1502000000
2022-12-31	USD	2878000000	1327000000	None	-286000000	461000000	1845000000	1310000000	49000000	49000000	1675000000	-1352000000	-1665000000	1616000000	65000000	65000000	None	2602000000	2602000000	0	None	748000000	None	-65000000	None	-139000000	None	1675000000
2021-12-31	USD	2789000000	1273000000	None	-120000000	-226000000	1857000000	1229000000	113000000	113000000	1096000000	-1332000000	-1310000000	355000000	70000000	70000000	None	2373000000	2373000000	0	None	3985000000	None	-70000000	None	232000000	0	1096000000
2020-12-31	USD	3055000000	1191000000	None	-111000000	181000000	1856000000	1624000000	-166000000	-166000000	1056000000	-1741000000	-1271000000	-105000000	76000000	76000000	None	2190000000	2105000000	85000000	None	3733000000	None	-76000000	None	86000000	0	1056000000
2019-12-31	USD	2698000000	541000000	None	294000000	-167000000	1317000000	2057000000	-96000000	None	860000000	-2081000000	-692000000	4925000000	44000000	-44000000	None	2025000000	1912000000	113000000	None	1894000000	0	44000000	None	-150000000	0	860000000
2018-12-31	USD	2500000000	0	None	276000000	219000000	1121000000	1739000000	-105000000	None	622000000	-1793000000	-733000000	95000000	34000000	34000000	None	1895000000	1782000000	113000000	None	2742000000	0	807000000	None	-53000000	-1000000	559000000
2017-12-31	USD	2032000000	546543000	None	176226000	-45572000	933935000	-1217000000	71000000	None	366000000	-10482000000	8192000000	980000000	-23000000	23307000	None	1538640000	1509000000	30000000	None	3092323000	1607759000	4198022000	None	-508188000	1000000	444550000
2016-12-31	USD	1787000000	470655000	None	236642000	109432000	851787000	874000000	59000000	None	357000000	-1429000000	-89000000	-1132931000	25000000	24936000	None	1283146000	1239000000	44000000	1325865000	5201010000	0	1300929000	None	664529000	0	356973000
2015-12-31	USD	1794025000	489970000	None	320625000	103554000	795948000	908892000	-12668000	None	1524335000	-1959734000	-935476000	446458000	29657000	29657000	None	1160432000	1116444000	43988000	None	1000000000	0	-29657000	None	-1097995000	-1902000	1520992000
2014-12-31	USD	1600197000	491076000	None	412952000	305451000	1043681000	758535000	77116000	None	398774000	-1216709000	-462987000	351010000	21872000	21872000	None	668651000	624297000	44354000	3000000000	845750000	0	-21872000	None	-47774000	-8012000	390513000
2013-12-31	USD	1171059000	477395000	None	284120000	286457000	810000000	534809000	64026000	None	93901000	-5459285000	4063133000	-493018000	99458000	99458000	None	3545348000	0	0	2980586000	1618430000	950886000	2881128000	None	-217970000	2210000	90111000
2012-12-31	USD	772557000	504494000	None	140809000	371161000	664036000	441383000	98570000	None	200888000	-4199596000	3786803000	713237000	36043000	36043000	None	2481000	0	2481000	None	5250000000	0	-35785000	None	361244000	1480000	188584000
2011-12-31	USD	643454000	404443000	None	12310000	241953000	582163000	347942000	17407000	None	171460000	-399865000	-275712000	95979000	303414000	303414000	None	19487000	19487000	19487000	None	0	0	-301857000	None	-32411000	-288000	171077000
2010-12-31	USD	603430000	409293000	None	-2583000	-7247000	569092000	228058000	11653000	None	-311259000	-390949000	-866624000	168953000	159639000	159639000	None	19879000	19879000	19879000	None	3450000000	None	-140908000	None	-653615000	528000	-310940000
2009-12-31	USD	571256000	331681000	None	51002000	122290000	61357000	173535000	4830000	None	-114123000	-172145000	214396000	-231471000	3003000	3003000	None	19878000	19878000	19878000	None	2726348000	None	42046000	None	610927000	-2580000	-114332000
