fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-12-31	USD	7920000000	1099000000	None	342000000	536000000	1183000000	1691000000	-373000000	44000000	6920000000	-1694000000	-7331000000	None	6000000000	6000000000	None	3056000000	3056000000	None	None	None	None	-6000000000	None	None	None	6920000000
2022-12-31	USD	7802000000	842000000	None	1391000000	2388000000	1156000000	1670000000	542000000	107000000	5732000000	-1789000000	-7070000000	None	7900000000	7900000000	None	3000000000	3016000000	None	None	None	None	-7900000000	None	-1057000000	None	5732000000
2021-12-31	USD	9221000000	842000000	None	242000000	455000000	1079000000	1522000000	-15000000	-564000000	6315000000	-1161000000	-7616000000	None	4087000000	4087000000	None	2940000000	2900000000	None	None	None	None	-4087000000	None	444000000	None	6315000000
2020-12-31	USD	8183000000	777000000	None	-1097000000	18000000	1019000000	1766000000	-359000000	-74000000	6833000000	-2010000000	-4527000000	None	1100000000	1100000000	None	2764000000	2800000000	None	None	0	None	-1100000000	None	1646000000	None	6833000000
2019-12-31	USD	7311000000	848000000	None	-605000000	137000000	1078000000	1484000000	-107000000	622000000	6230000000	-1241000000	-5328000000	-600000000	1200000000	1200000000	None	2556000000	2556000000	None	None	0	None	-1200000000	None	742000000	None	6230000000
2018-12-31	USD	3138000000	635000000	None	-2120000000	1798000000	1055000000	1278000000	179000000	119000000	5046000000	-1075000000	-4152000000	600000000	1492000000	1492000000	None	2347000000	2347000000	None	None	0	None	-1492000000	None	-2089000000	None	5046000000
2017-12-31	USD	6476000000	610000000	None	-107000000	218000000	1072000000	1177000000	902000000	79000000	2002000000	-1147000000	-4305000000	0	2000000000	2001000000	None	2163000000	2163000000	None	None	0	None	-1930000000	None	1024000000	None	1963000000
2016-12-31	USD	5189000000	600000000	None	989000000	857000000	1031000000	1063000000	-598000000	-173000000	5302000000	-985000000	-3457000000	None	2096000000	2096000000	None	2048000000	2048000000	None	None	0	None	-1990000000	None	747000000	None	5173000000
2015-12-31	USD	5101000000	18000000	None	828000000	654000000	854000000	939000000	256000000	398000000	3605000000	-9734000000	4277000000	0	3100000000	3071000000	None	1932000000	1932000000	None	None	0	None	-2897000000	None	-356000000	None	3605000000
2014-12-31	USD	3866000000	325000000	200000000	-1006000000	-105000000	739000000	845000000	-28000000	-77000000	3614000000	-1723000000	-3314000000	None	1900000000	1900000000	None	1760000000	1760000000	None	None	None	None	-1592000000	None	-1171000000	None	3614000000
2013-12-31	USD	4546000000	None	550000000	-816000000	-707000000	714000000	836000000	-767000000	60000000	2981000000	-1121000000	-2706000000	None	1762000000	1762000000	None	1540000000	1540000000	None	None	None	None	-935000000	None	719000000	None	2981000000
2012-12-31	USD	1561000000	None	153000000	-2597000000	882000000	715000000	942000000	460000000	422000000	2745000000	-1177000000	-2068000000	None	990000000	990000000	None	1352000000	1352000000	None	None	None	None	-550000000	None	-1684000000	None	2745000000
2011-12-31	USD	4253000000	None	250000000	1022000000	413000000	712000000	987000000	363000000	74000000	2655000000	-788000000	-2144000000	None	2465000000	2465000000	None	1095000000	1095000000	None	None	None	None	-2465000000	None	1321000000	None	2655000000
2010-12-31	USD	3801000000	337000000	325000000	-646000000	242000000	841000000	1074000000	-3000000	207000000	3583000000	-573000000	-3358000000	None	2420000000	2420000000	None	969000000	969000000	None	None	None	None	-2420000000	None	-130000000	5000000	2878000000
2009-12-31	USD	3487000000	286000000	None	461000000	952000000	854000000	1166000000	685000000	237000000	3329000000	-1832000000	-1432000000	None	1851000000	1851000000	None	908000000	908000000	None	40000000	1464000000	None	-1811000000	None	223000000	44000000	2973000000
