fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-09-30	USD	2823184000	4275357000	1452173000	2217079000	1067147000	1175410000	None	1802090000	None	-137281000	7207000	137281000	None	69775000	None	604327000	999641000	113779000	137281000	885862000	1035278000	1136922000	1741249000	885862000
2022-09-30	USD	2519006000	4201662000	1682656000	1682656000	920982000	1084569000	None	1636800000	None	-102811000	102811000	102811000	None	33737000	None	535655000	851908000	77510000	102811000	774398000	1073707000	954719000	1490374000	774398000
2021-09-30	USD	2374773000	3407490000	1032717000	1032717000	904998000	1015898000	None	1537682000	None	-83554000	83554000	83554000	None	-2145000	None	477977000	819299000	153736000	83554000	665563000	792955000	902853000	1380830000	665563000
2020-09-30	USD	2162283000	2821137000	658854000	658854000	824099000	929456000	None	1359284000	None	-84474000	84474000	84474000	None	7171000	None	429828000	746796000	145353000	84474000	601443000	658437000	831270000	1261098000	601443000
2019-09-30	USD	2043011000	2901848000	858837000	858837000	746058000	929397000	None	1320853000	None	-103153000	4160000	103153000	None	7404000	None	391456000	650309000	138903000	103153000	511406000	488680000	753462000	1144918000	511406000
2018-09-30	USD	1947698000	3115546000	1167848000	1167848000	727934000	921181000	None	1282264000	None	-106646000	106646000	106646000	None	-10144000	None	361083000	611144000	8080000	106646000	603064000	647605000	717790000	1078873000	603064000
2017-09-30	USD	-2201371000	2759735000	2087989000	925536000	735628000	843005000	None	1162453000	None	-120182000	120182000	120182000	6800000	-11352000	None	319448000	617804000	221383000	120182000	382711000	479189000	737986000	1057434000	396421000
2016-09-30	USD	1744896000	2454648000	709752000	1605053000	657230000	840982000	None	1076878000	None	-115948000	-1136000	114812000	-15500000	-234000	None	290791000	546746000	196642000	115948000	345542000	271412000	661558000	952349000	350104000
2015-09-30	USD	1680017000	5250758000	3570741000	2462119000	612232000	833826000	None	1048622000	None	-116241000	116241000	116241000	15500000	-819000	None	272408000	504624000	189549000	116241000	305623000	218138000	620865000	893273000	315075000
2014-09-30	USD	1582426000	2553503000	971077000	3358490000	611349000	717090000	None	971077000	None	-129295000	None	129295000	-5000000	-5235000	None	253987000	476819000	187002000	129295000	289817000	238546000	606114000	860101000	289817000
2013-09-30	USD	1412050000	2322221000	910171000	2463410000	501879000	675092000	None	910171000	None	-128385000	None	128385000	3000000	-197000	None	235079000	385793000	142599000	128385000	230698000	329679000	514178000	749257000	243194000
2012-09-30	USD	1323739000	2222138000	898399000	1700000	446240000	653886000	None	877499000	None	-141174000	None	141174000	None	-14644000	None	237525000	314943000	98226000	141174000	192196000	217570000	456117000	693642000	216717000
2011-09-30	USD	1300820000	2197762000	896942000	3020393000	425986000	639573000	None	874834000	None	-150825000	-62000	150763000	None	21184000	None	223832000	314420000	106819000	150825000	198884000	182513000	465183000	689015000	207601000
2010-09-30	USD	1314136000	4738885000	3424749000	3424749000	463833000	658545000	None	850303000	None	-154471000	-283000	154188000	None	-591000	None	208539000	325042000	119203000	154471000	205839000	202651000	479230000	687769000	205839000
