fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-12-31	USD	39895000000	None	None	-8407000000	-9530000000	2848000000	2392000000	-11124000000	137000000	33916000000	1927000000	-30585000000	-7968000000	20139000000	20139000000	None	3825000000	3825000000	None	None	0	None	-20139000000	None	None	None	33916000000
2023-09-30	USD	21598000000	3113000000	None	14946000000	21006000000	2653000000	2163000000	21137000000	-952000000	22956000000	2394000000	-23153000000	3986000000	21003000000	21003000000	None	3758000000	3758000000	None	0	0	None	-21003000000	None	839000000	None	22956000000
2023-06-30	USD	26380000000	None	None	None	None	3052000000	2093000000	-3661000000	22000000	19881000000	437000000	-24048000000	0	17478000000	0	None	3849000000	3849000000	None	0	0	None	0	None	2769000000	None	19881000000
2023-03-31	USD	28560000000	None	None	None	None	2898000000	2916000000	17786000000	-741000000	24160000000	2319000000	-25724000000	0	None	0	None	3650000000	3650000000	None	0	0	None	0	None	5155000000	None	24160000000
2022-12-31	USD	34005000000	703000000	None	-2186000000	-689000000	2916000000	3787000000	-6595000000	1807000000	29998000000	-1445000000	-35563000000	-16428000000	19475000000	19475000000	None	3768000000	3768000000	None	0	0	None	-19475000000	None	-3003000000	None	29998000000
2022-09-30	USD	24127000000	2755000000	None	21420000000	21468000000	2865000000	3289000000	18693000000	-435000000	20721000000	-1217000000	-26794000000	-2030000000	24428000000	24428000000	None	3703000000	3703000000	None	None	5465000000	None	-24428000000	None	-3884000000	None	20721000000
2022-06-30	USD	22892000000	504000000	None	-6627000000	-3402000000	2805000000	2102000000	-3165000000	16000000	19442000000	4234000000	-27445000000	7942000000	21865000000	21865000000	None	3811000000	3811000000	None	None	0	None	-21865000000	None	19442000000	None	19442000000
2022-03-31	USD	28166000000	875000000	None	-23746000000	-21694000000	2737000000	2514000000	-19931000000	-384000000	25010000000	-9265000000	-28351000000	3998000000	22631000000	22631000000	None	3595000000	3595000000	None	None	0	None	-22631000000	None	25010000000	None	25010000000
2021-12-31	USD	46966000000	531000000	None	24511000000	17986000000	2697000000	2803000000	13746000000	-681000000	34630000000	-16106000000	-28159000000	-2000000000	20478000000	20478000000	None	3732000000	3732000000	None	None	None	None	-20478000000	None	2701000000	None	34630000000
2021-09-30	USD	20200000000	2217000000	None	19386000000	21176000000	2989000000	3223000000	17604000000	1429000000	20551000000	835000000	-20382000000	-4000000000	19748000000	19748000000	None	3640000000	3640000000	None	544000000	6470000000	None	-19204000000	None	653000000	None	20551000000
2021-06-30	USD	21094000000	543000000	None	-2275000000	2422000000	2832000000	2093000000	869000000	-13000000	21744000000	3572000000	-29396000000	6000000000	22900000000	22900000000	None	3767000000	3767000000	None	0	0	None	-22900000000	None	21744000000	None	21744000000
