fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-12-31	USD	2389600000	402700000	None	286000000	358800000	343500000	300700000	110100000	96400000	2041700000	-1172200000	-1350300000	-1900000	669300000	669300000	None	696600000	683700000	None	None	699200000	None	-590000000	None	None	None	2023900000
2022-12-31	USD	1504000000	397000000	None	378800000	928900000	319200000	291800000	345400000	466700000	1774700000	-540400000	-1852200000	0	1200200000	1200200000	None	634700000	620200000	None	None	0	None	-1197600000	None	None	None	1756500000
2021-12-31	USD	1588300000	441300000	None	524900000	768000000	294100000	223000000	265400000	348800000	1436600000	-545700000	-2127600000	None	1100300000	1100300000	None	576000000	561100000	None	None	0	None	-1022000000	None	-1130700000	-45700000	1423400000
2020-12-31	USD	1435000000	483300000	None	199100000	-144600000	288500000	146200000	-5900000	-109000000	870000000	-376200000	884300000	0	250000000	250000000	None	525600000	507300000	None	None	0	None	-185500000	None	2011300000	68200000	854900000
2019-12-31	USD	1919500000	510200000	None	204700000	264300000	397400000	205400000	53200000	-3900000	1428500000	-1780000000	270500000	0	750100000	750100000	None	525900000	510100000	None	None	1497900000	None	-633300000	None	400200000	-9800000	1410900000
2018-12-31	USD	1407800000	240800000	None	183100000	370600000	361500000	284700000	236000000	186900000	1357500000	-629400000	-1378800000	-6400000	900200000	900200000	None	520900000	479500000	None	None	1147000000	None	-831300000	None	-646000000	-45600000	1337600000
2017-12-31	USD	1523500000	207700000	None	395400000	475900000	353300000	221300000	156700000	112400000	1312300000	-374700000	-1432500000	-4000000	1016900000	1016900000	None	445900000	430100000	None	None	0	None	-940200000	None	-165300000	118400000	1302600000
2016-12-31	USD	1521900000	197300000	None	60500000	99000000	352200000	182700000	101300000	-26800000	1492700000	240100000	-726900000	-150700000	250100000	250100000	None	362700000	348600000	None	None	0	None	-187200000	None	977900000	-57200000	1476200000
2015-12-31	USD	888400000	172400000	None	-505400000	-162700000	364100000	249600000	79800000	6300000	682800000	-1192900000	-527600000	30300000	250100000	250100000	None	312600000	303300000	None	None	0	None	-188800000	None	-968400000	-136300000	664600000
2014-12-31	USD	973200000	193500000	None	45600000	266900000	332400000	233500000	119900000	230000000	950400000	-197000000	-859500000	99600000	1374900000	1374900000	None	285600000	264700000	None	None	1108600000	None	-1261800000	None	-232000000	-148700000	931700000
2013-12-31	USD	1091500000	238300000	None	-216200000	185400000	333700000	242200000	214300000	39400000	653900000	-215400000	346600000	8900000	1213200000	1213200000	None	257900000	245500000	None	None	1547800000	None	-960200000	None	1228800000	6100000	618800000
2012-12-31	USD	1195400000	224900000	None	-269500000	126300000	333800000	243100000	35200000	25300000	1044000000	-146500000	-1303900000	5500000	839800000	839800000	None	213100000	192400000	None	None	0	None	-686900000	None	-278600000	-23600000	1018600000
2011-12-31	USD	1186800000	232500000	None	-150700000	61200000	358500000	217100000	-8100000	6400000	369300000	207500000	-1246400000	35500000	1157500000	1157500000	None	163500000	137300000	None	None	3600000	None	-1048500000	None	146400000	-1500000	343200000
2010-12-31	USD	695400000	225700000	None	-434100000	289600000	436800000	179500000	240300000	213000000	665100000	-178600000	-403700000	33100000	0	0	None	110900000	90700000	None	None	62900000	None	145300000	None	137600000	24500000	642200000
2009-12-31	USD	1734600000	209800000	25000000	-502400000	-1129700000	421500000	204200000	-427200000	-392200000	476200000	-182700000	-1208100000	-57600000	0	0	None	181000000	160800000	None	None	1010300000	None	27200000	None	326500000	-17300000	451300000
