fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2022-12-31	USD	3056000000	1172000000	None	-54600000	40600000	236400000	89700000	51100000	None	2691000000	-489800000	-25381700000	0	None	None	None	2633500000	2633500000	None	None	None	0	-24800000	None	None	None	2691000000
2021-12-31	USD	2402400000	952500000	None	-122000000	39800000	246300000	127200000	45700000	None	2636900000	58400000	69908700000	0	None	None	None	2189300000	2189300000	None	None	None	965000000	0	None	72369500000	None	2636400000
2020-12-31	USD	2715600000	850300000	None	-71000000	-130200000	319900000	197500000	-28200000	-19200000	2106400000	-175500000	47246600000	995400000	None	None	None	2110000000	2110000000	None	None	0	0	-41400000	None	81900000	None	2105200000
2019-12-31	USD	2672800000	737500000	None	-234800000	-200200000	314700000	245600000	-60800000	-17700000	2115800000	-152600000	-2340800000	-92500000	None	None	None	1695900000	1695900000	None	None	0	0	16000000	None	179400000	None	2116500000
2018-12-31	USD	2440800000	577400000	None	170400000	120700000	130000000	116700000	65500000	73700000	1963700000	-1889600000	-1080000000	386900000	None	None	None	2149900000	2149900000	None	None	1185000000	None	11500000	None	-528800000	None	1962200000
2017-12-31	USD	1751100000	861500000	None	-8800000	7900000	95500000	81900000	-6000000	-1500000	4063400000	179900000	-1985300000	0	None	None	None	1993500000	1993500000	None	None	0	None	36700000	None	35000000	None	4063400000
2016-12-31	USD	1732000000	791500000	None	-3800000	-500000	96100000	91800000	8100000	24500000	1534100000	53700000	-1620500000	None	None	None	None	1787200000	1787200000	None	None	0	None	51800000	None	176000000	None	1534100000
2015-12-31	USD	1532500000	805700000	None	-121200000	34000000	99400000	114200000	17300000	-115900000	1247000000	17900000	-1223900000	None	None	None	None	1343400000	1343400000	None	None	743700000	None	64000000	None	326500000	None	1247000000
2014-12-31	USD	1291400000	752900000	None	-153800000	46300000	100600000	140700000	38500000	-148000000	1126900000	-199100000	-2195900000	None	None	None	None	1496800000	1496800000	None	None	0	None	53300000	None	-1103600000	None	1127100000
2013-12-31	USD	1280500000	745600000	0	22200000	37500000	103000000	125600000	35500000	30600000	978100000	190500000	-606000000	None	0	0	None	599100000	599100000	None	None	748700000	None	73700000	None	865000000	None	976800000
2012-12-31	USD	1219700000	735000000	0	67200000	69200000	121500000	141800000	300000	48100000	906700000	-208900000	-448400000	None	0	0	None	1224300000	1224300000	None	None	747700000	None	22100000	None	562400000	None	896300000
2011-12-31	USD	1346300000	928000000	18000000	-32300000	109700000	136900000	172200000	13200000	-93900000	1814400000	-153600000	-1005600000	None	220400000	220400000	None	372800000	372800000	None	None	0	None	-214600000	None	187100000	None	1812300000
2010-12-31	USD	1359600000	870800000	0	103400000	64700000	133000000	160000000	28700000	-18300000	952100000	-111600000	-653400000	None	575300000	575300000	None	305300000	912800000	None	None	608000000	None	-562700000	None	594600000	None	951400000
2009-12-31	USD	1083100000	720500000	0	-3100000	28700000	2500000	157900000	14400000	-168500000	825800000	544800000	-1665200000	None	27000000	27000000	None	305600000	305600000	None	None	None	None	-5200000	None	-37300000	None	825800000
