fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	21711000000	53879000000	39844000000	32517000000	93000000	5634000000	16046000000	21618000000	1335000000	-878000000	1253000000	878000000	54757000000	172000000	7847000000	1755000000	776000000	-913000000	878000000	1675000000	2036000000	1654000000	3409000000	1689000000
2022-12-31	USD	26866000000	61811000000	45099000000	36188000000	2334000000	7002000000	17528000000	24532000000	589000000	-496000000	589000000	496000000	62307000000	1073000000	11128000000	1907000000	7765000000	-249000000	496000000	8017000000	8332000000	8261000000	10168000000	8014000000
2021-12-31	USD	43815000000	78168000000	46217000000	35209000000	19456000000	6543000000	15190000000	24359000000	144000000	-597000000	144000000	597000000	78765000000	-29000000	9953000000	1839000000	21703000000	1835000000	597000000	19868000000	19739000000	22300000000	24139000000	19868000000
2020-12-31	USD	43612000000	76984000000	42390000000	34255000000	23678000000	6180000000	13556000000	19934000000	272000000	-629000000	272000000	629000000	77613000000	-147000000	10482000000	1757000000	25078000000	4179000000	629000000	20899000000	21428000000	25707000000	27464000000	20899000000
2019-12-31	USD	42140000000	71052000000	36568000000	29825000000	22035000000	6350000000	13362000000	20105000000	483000000	-489000000	483000000	489000000	71541000000	490000000	9204000000	200000000	24058000000	3010000000	489000000	21048000000	20742000000	24547000000	24747000000	21048000000
2018-12-31	USD	43737000000	69675000000	33989000000	27111000000	23316000000	6950000000	13543000000	20421000000	438000000	-468000000	438000000	468000000	70143000000	156000000	7520000000	200000000	23317000000	2264000000	728000000	21053000000	21007000000	23785000000	23985000000	21053000000
2017-12-31	USD	39098000000	64222000000	31727000000	23663000000	18050000000	7452000000	13035000000	21048000000	441000000	-646000000	441000000	646000000	2107000000	-144000000	6752000000	177000000	20352000000	10751000000	1122000000	9601000000	10357000000	20998000000	21175000000	9601000000
2016-12-31	USD	36233000000	58654000000	35003000000	23154000000	13133000000	8377000000	12685000000	23100000000	222000000	-733000000	222000000	733000000	432000000	-192000000	6266000000	294000000	12936000000	2620000000	733000000	10316000000	10362000000	13669000000	13963000000	10316000000
2015-12-31	USD	34679000000	55018000000	29850000000	20676000000	14002000000	7930000000	12128000000	20677000000	124000000	-337000000	296000000	337000000	263000000	108000000	7821000000	265000000	14212000000	2792000000	337000000	11420000000	10814000000	14549000000	14814000000	11420000000
2014-12-31	USD	35609000000	55678000000	29861000000	20261000000	15347000000	8136000000	11537000000	20262000000	141000000	-192000000	None	192000000	None	43000000	7380000000	1169000000	15801000000	4097000000	192000000	11704000000	11127000000	15993000000	17162000000	11704000000
2013-12-31	USD	31521000000	52464000000	30757000000	21187000000	12291000000	8088000000	10611000000	19230000000	104000000	-244000000	None	244000000	None	None	6790000000	1242000000	12611000000	2991000000	244000000	9620000000	11262000000	12855000000	14097000000	9620000000
2012-12-31	USD	33151000000	53417000000	29454000000	20190000000	14638000000	8057000000	10148000000	18513000000	97000000	-90000000	None	90000000	None	None	6357000000	1165000000	14873000000	3868000000	90000000	10998000000	11387000000	14963000000	16128000000	11005000000
2011-12-31	USD	33757000000	54226000000	28835000000	20242000000	17477000000	7670000000	8350000000	16280000000	98000000	-41000000	None	41000000	None	None	5141000000	923000000	17781000000	4839000000	41000000	12918000000	11828000000	17822000000	18745000000	12942000000
2010-12-31	USD	28491000000	43623000000	21681000000	15132000000	15588000000	6309000000	6576000000	12903000000	119000000	0	None	0	None	None	4398000000	240000000	16045000000	4581000000	0	11013000000	11404000000	15588000000	16285000000	11464000000
2009-12-31	USD	19561000000	35127000000	23728000000	15566000000	5711000000	7931000000	5653000000	13850000000	168000000	-1000000	None	1000000	None	None	4744000000	308000000	5704000000	1335000000	1000000	5711000000	5155000000	5711000000	6013000000	4369000000
