fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-09-30	USD	3459743000	163363000	None	-60100000	49657000	604327000	2805973000	-46859000	-112111000	885862000	-2795280000	-696769000	56966000	None	None	None	430345000	430345000	None	806949000	797258000	None	822344000	None	None	None	885862000
2022-09-30	USD	977584000	143480000	None	-96922000	266842000	535655000	2444420000	34325000	179825000	774398000	-2429958000	1387205000	184967000	None	None	None	375914000	375914000	None	776805000	798802000	None	792208000	None	-65169000	None	774398000
2021-09-30	USD	-1084251000	123913000	None	-171375000	127727000	477977000	1969540000	113665000	66166000	665563000	-1963655000	3143821000	0	None	None	None	323904000	323904000	None	606667000	2797346000	None	622508000	None	95915000	None	665563000
2020-09-30	USD	1037999000	120058000	None	-91218000	42458000	429828000	1935676000	-7167000	-18188000	601443000	-1925518000	883777000	-464915000	None	None	None	282444000	282444000	None	624302000	999450000	None	643850000	None	-3742000	None	601443000
2019-09-30	USD	968769000	196319000	None	-46011000	30675000	391456000	1693477000	-18724000	-35594000	511406000	-1683660000	725670000	-110865000	None	None	None	245717000	245717000	None	694103000	1045221000	None	19323000	None	10779000	None	511406000
2018-09-30	USD	1124662000	169987000	6102000	94773000	-40088000	361083000	1467591000	29208000	-18921000	603064000	-1463566000	326266000	128035000	None	None	None	214906000	214906000	None	395092000	0	None	19563000	None	-12638000	None	603064000
2017-09-30	USD	867090000	156668000	5264000	-91690000	-18423000	319633000	1137089000	58696000	35126000	385427000	-1056306000	168091000	-382066000	None	0	None	191931000	191931000	None	98755000	884911000	None	125278000	None	-21125000	None	396421000
2016-09-30	USD	794990000	154748000	7794000	-35343000	27869000	293096000	1086950000	4847000	-20577000	350104000	-1079732000	303623000	371884000	None	0	None	175126000	175126000	None	98574000	0	None	132852000	None	18881000	None	350104000
2015-09-30	USD	811914000	151334000	None	-107789000	-127779000	274796000	963621000	-48240000	-33234000	315075000	-956602000	131083000	261232000	None	7985000	None	160018000	160018000	None	0	493538000	None	22967000	None	-13605000	None	315075000
2014-09-30	USD	732813000	156606000	None	57454000	97815000	10878000	824441000	41408000	31996000	289817000	-824979000	68225000	-171289000	None	8717000	None	146248000	146248000	None	390205000	0	None	394479000	None	-23941000	None	289817000
2013-09-30	USD	613127000	148461000	None	-12579000	26046000	9659000	845033000	73669000	-31979000	243194000	-696914000	85747000	-208070000	None	5150000	None	128115000	128115000	None	0	493793000	None	46000	None	1960000	None	243194000
2012-09-30	USD	586917000	150606000	None	-56345000	-81984000	8631000	732858000	-32578000	-28417000	216717000	-609260000	-44837000	354141000	None	None	None	125796000	125796000	None	0	0	None	1606000	None	-67180000	None	216717000
2011-09-30	USD	582844000	157976000	None	-33591000	10407000	9438000	622965000	96000	-27737000	216318000	-627386000	44009000	83306000	None	None	None	124011000	124011000	None	7796000	394466000	None	7796000	None	-533000	None	207601000
2010-09-30	USD	726476000	161925000	None	9077000	4774000	11908000	542636000	40401000	-54014000	205839000	-542702000	-163025000	54268000	None	None	None	124287000	124287000	None	8766000	0	None	8766000	None	20749000	None	205839000
