fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-12-31	USD	11471000000	613000000	None	-1415000000	-2786000000	9602000000	25750000000	-731000000	-2097000000	1675000000	-24041000000	8505000000	-3944000000	0	0	None	3088000000	3088000000	None	None	11391000000	None	0	None	None	None	1689000000
2022-12-31	USD	15433000000	624000000	None	-1586000000	1363000000	13035000000	24844000000	-5327000000	2436000000	8017000000	-10231000000	1115000000	0	0	0	None	5997000000	5997000000	None	None	6548000000	None	2009000000	None	6317000000	None	8014000000
2021-12-31	USD	29456000000	545000000	None	122000000	6471000000	11792000000	18733000000	2674000000	2339000000	19868000000	-24449000000	-6045000000	None	2415000000	2415000000	None	5644000000	5644000000	None	None	4974000000	None	-1395000000	None	-1038000000	None	19868000000
2020-12-31	USD	35864000000	594000000	None	694000000	1561000000	12239000000	14259000000	-883000000	687000000	20899000000	-21524000000	-12669000000	None	14229000000	14229000000	None	5568000000	5568000000	None	None	10247000000	None	-13332000000	None	1671000000	None	20899000000
2019-12-31	USD	33145000000	469000000	None	5000000	3308000000	10826000000	16213000000	935000000	1481000000	21048000000	-14405000000	-17565000000	None	13576000000	13576000000	None	5576000000	5576000000	None	None	3392000000	None	-12826000000	None	1175000000	None	21048000000
2018-12-31	USD	29432000000	448000000	None	1318000000	1773000000	9085000000	15181000000	1714000000	214000000	21053000000	-11239000000	-18607000000	460000000	10730000000	10730000000	None	5541000000	5541000000	None	None	423000000	None	-10175000000	None	-414000000	None	21053000000
2017-12-31	USD	22110000000	624000000	None	118000000	2081000000	8129000000	11778000000	781000000	1300000000	9601000000	-15762000000	-8475000000	12000000	3615000000	3615000000	None	5072000000	5072000000	None	None	7716000000	None	-2845000000	None	-2127000000	None	9601000000
2016-12-31	USD	43616000000	803000000	None	-1413000000	-184000000	7790000000	9625000000	-65000000	-119000000	10316000000	-25817000000	-5739000000	-15000000	2587000000	2587000000	None	4925000000	4925000000	None	None	2734000000	None	-1479000000	None	-9748000000	0	10316000000
2015-12-31	USD	38034000000	345000000	None	-1023000000	1119000000	8711000000	7446000000	355000000	764000000	11420000000	-8183000000	1912000000	-474000000	3001000000	3001000000	None	4556000000	4556000000	None	None	9476000000	None	-2135000000	None	12747000000	1000000	11420000000
2014-12-31	USD	40836000000	622000000	None	-245000000	959000000	8549000000	10105000000	861000000	98000000	11704000000	-9905000000	-13611000000	235000000	10792000000	10792000000	None	4409000000	4409000000	None	None	0	None	-9132000000	None	-3113000000	-15000000	11704000000
2013-12-31	USD	20776000000	271000000	None	422000000	-834000000	8032000000	10711000000	-271000000	-563000000	9620000000	-18073000000	-5498000000	-31000000	2147000000	2440000000	None	4479000000	4479000000	None	None	0	None	-852000000	None	-2804000000	-9000000	9620000000
2012-12-31	USD	18884000000	213000000	None	259000000	802000000	7522000000	11027000000	176000000	626000000	10998000000	-14060000000	-1408000000	65000000	4765000000	5110000000	None	4350000000	4350000000	None	None	6124000000	None	-2999000000	None	3413000000	-3000000	11005000000
2011-12-31	USD	20963000000	37000000	None	501000000	921000000	6064000000	10764000000	678000000	243000000	12918000000	-10301000000	-11100000000	209000000	14340000000	14340000000	None	4127000000	4127000000	None	None	4962000000	None	-12295000000	None	-433000000	5000000	12942000000
2010-12-31	USD	16692000000	0	None	407000000	1390000000	4638000000	5207000000	584000000	806000000	11013000000	-10539000000	-4642000000	23000000	1736000000	1736000000	None	3503000000	3503000000	None	None	0	None	-1149000000	None	1511000000	0	11464000000
2009-12-31	USD	11170000000	4000000	None	-506000000	-560000000	4744000000	4515000000	535000000	-796000000	5711000000	-7965000000	-2568000000	-87000000	1762000000	1762000000	None	3108000000	3108000000	None	None	1980000000	None	-1362000000	None	637000000	0	4369000000
