endDate,revenue
2013-12-29,1.421178
2014-12-28,1.861358
2016-01-03,2219.762
2017-01-01,2398.373
2017-12-31,2752.0
2018-12-30,3333.0
2019-12-29,3543.0
2021-01-03,3239.0
2022-01-02,4526.0
2023-01-01,4584.0
2023-12-31,4504.0
